Series, Page, NO., ID, Title 
17556, 13, 309, 26587756, 危险关系 
17556, 13, 310, 5440466, 干杯，朋友！ 
17556, 14, 326, 19955130, 蒋介石初上台湾岛 
17556, 14, 327, 5407823, 往事流影 
17556, 14, 328, 25963460, 寻真无悔 
17556, 14, 329, 26060705, 经济奇迹的另一面 
17556, 14, 330, 24541905, 张学良口述历史 
17556, 14, 331, 26393041, 冰眼看日本（贰） 
17556, 14, 332, 25756490, 国文课没教的事 
17556, 14, 333, 25843833, 世界上最伟大的推销员（平装） 
17556, 14, 334, 26259976, 世界的故事 II 中世纪 
17556, 14, 335, 7066769, 辛亥风云 
17556, 15, 351, 26637761, 老歌的发现 
17556, 15, 352, 26830930, 风马牛集 
17556, 15, 353, 26259983, 世界的故事Ⅲ  近代史 
17556, 15, 354, 26259987, 世界的故事Ⅳ  近现代史 
17556, 15, 355, 26259973, 世界的故事I 古代史 
17556, 15, 356, 6434501, 父亲的脚印 
25, 9, 201, 1116318, 英吉利教会史 
25, 9, 202, 4747144, 圣路易（全两卷） 
25, 9, 203, 4887597, 历史的地理枢纽 
25, 9, 204, 5384623, 三十年战争史 
25, 9, 205, 4747141, 法国革命史 
25, 9, 206, 1577618, 新史学 
25, 9, 207, 1577633, 地理学 
25, 9, 208, 1224076, 历史著作史（下卷全两册） 
25, 9, 209, 26596256, 中国伊朗编 
25, 9, 210, 26757720, 神圣罗马帝国 
25, 10, 226, 1545859, 克拉维约东使记 
25, 10, 227, 26806809, 宗教改革史 
25, 10, 228, 1260138, 宪章运动史 
25, 10, 229, 5437042, 比较城市化 
25, 10, 230, 1040725, 地理学的性质 
25, 10, 231, 1089377, 史集（第一卷 第二分册） 
25, 10, 232, 26355378, 制造路易十四 
25, 10, 233, 1072306, 伟大的德国农民战争（全二册） 
25, 10, 234, 1044883, 地理学性质的透视 
25, 10, 235, 2137826, 地理学思想史 
25, 11, 251, 19930074, 作为思想和行动的历史 
25, 11, 252, 10571763, 俄国史教程（第1卷） 
25, 11, 253, 10876723, 马可波罗行纪 
25, 11, 254, 5437039, 琉璃宫史（全三卷） 
25, 11, 255, 1070937, 史集（第三卷） 
25, 11, 256, 1049770, 史集（第二卷） 
25, 11, 257, 1513078, 气候与生命 
25, 11, 258, 4887592, 德国南部中心地原理 
25, 11, 259, 26819033, 宗教改革史（下卷） 
25, 11, 260, 1002147, 法国文明史（第二卷） 
25, 12, 276, 1245525, 大陆和海洋的形成 
25, 12, 277, 4887598, 工业区位论 
25, 12, 278, 4887601, 哲学与人文地理学 
25, 12, 279, 5501396, 战争史（全二册） 
