Doulist, Page, Type 
35519, 36, 2 
35519, 37, 2 
35519, 40, 2 
35519, 45, 2 
35519, 47, 2 
1651462, 1, 2 
1739529, 8, 2 
150286, 6, 2 
248592, 1, 2 
248592, 2, 2 
248592, 3, 2 
248592, 5, 2 
248592, 6, 2 
248592, 7, 2 
248592, 9, 2 
248592, 10, 2 
453664, 1, 1 
453664, 2, 1 
115496, 6, 2 
1479469, 4, 2 
43430373, 31, 2 
43430373, 58, 2 
43430373, 59, 2 
43430373, 60, 2 
43430373, 62, 2 
43430373, 63, 2 
43430373, 79, 2 
36912614, 1, 1 
19303, 3, 2 
207743, 1, 2 
1364866, 5, 2 
1364866, 7, 2 
1364866, 14, 2 
1298590, 1, 2 
1298590, 3, 2 
1298590, 5, 2 
1298590, 6, 2 
1298590, 9, 2 
182777, 10, 2 
37919722, 3, 1 
37919722, 18, 2 
43107333, 15, 1 
43107333, 16, 2 
43107333, 20, 2 
459787, 2, 2 
459787, 8, 2 
36805658, 2, 2 
36680731, 9, 2 
191516, 1, 2 
191516, 2, 2 
191516, 3, 2 
574493, 7, 2 
4031665, 6, 1 
144439, 8, 2 
144439, 10, 2 
48257, 6, 2 
437384, 1, 2 
437384, 6, 2 
203925, 4, 1 
189591, 2, 2 
42736792, 9, 2 
42736792, 12, 2 
42736792, 23, 2 
42736792, 29, 2 
42736792, 31, 2 
42736792, 36, 2 
42736792, 38, 2 
87204, 3, 2 
525499, 2, 2 
525499, 3, 2 
21091528, 5, 2 
13525, 3, 2 
13525, 4, 2 
41073897, 1, 1 
41073897, 2, 1 
41073897, 3, 1 
41073897, 4, 1 
41073897, 5, 1 
41073897, 6, 1 
41073897, 7, 1 
41073897, 8, 1 
41073897, 9, 1 
41073897, 10, 1 
41073897, 11, 1 
41073897, 12, 1 
41073897, 13, 1 
41073897, 14, 1 
41073897, 15, 1 
41073897, 16, 1 
41073897, 17, 1 
41073897, 18, 1 
41073897, 19, 1 
41073897, 20, 1 
41073897, 21, 1 
41073897, 22, 1 
41073897, 23, 1 
41073897, 24, 1 
41073897, 25, 1 
41073897, 26, 1 
41073897, 27, 1 
41073897, 28, 1 
41073897, 29, 1 
41073897, 30, 1 
41073897, 31, 1 
41073897, 32, 1 
41073897, 33, 1 
41073897, 34, 1 
41073897, 35, 1 
41073897, 36, 1 
41073897, 37, 1 
41073897, 38, 1 
41073897, 39, 1 
41073897, 40, 1 
41073897, 41, 1 
41073897, 42, 1 
41073897, 43, 1 
41073897, 44, 1 
41073897, 45, 1 
41073897, 46, 1 
41073897, 47, 1 
41073897, 48, 1 
41073897, 49, 1 
41073897, 50, 1 
41073897, 51, 1 
41073897, 52, 1 
41073897, 53, 1 
41073897, 54, 1 
41073897, 55, 1 
41073897, 56, 1 
41073897, 57, 1 
41073897, 58, 1 
41073897, 59, 1 
41073897, 60, 1 
41073897, 61, 1 
41073897, 62, 1 
41073897, 63, 1 
41073897, 64, 1 
41073897, 65, 1 
41073897, 66, 1 
41073897, 67, 1 
41073897, 68, 1 
41073897, 69, 1 
41073897, 70, 1 
41073897, 71, 1 
41073897, 72, 1 
41073897, 73, 1 
41073897, 74, 1 
41073897, 75, 1 
41073897, 76, 1 
41073897, 77, 1 
41073897, 78, 1 
41073897, 79, 1 
41073897, 80, 1 
41073897, 81, 1 
41073897, 82, 1 
41073897, 87, 1 
41073897, 88, 1 
41073897, 89, 1 
41073897, 90, 1 
41073897, 91, 1 
41073897, 92, 1 
41073897, 93, 1 
41073897, 94, 1 
41073897, 95, 1 
41073897, 96, 1 
41073897, 97, 1 
41073897, 98, 1 
41073897, 99, 1 
41073897, 100, 1 
41073897, 101, 1 
41073897, 102, 1 
41073897, 103, 1 
41073897, 104, 1 
41073897, 105, 1 
41073897, 106, 1 
41073897, 108, 1 
41073897, 116, 1 
41073897, 117, 1 
41073897, 118, 1 
41073897, 122, 1 
41073897, 123, 1 
41073897, 124, 1 
41073897, 125, 1 
41073897, 126, 1 
41073897, 127, 1 
41073897, 128, 1 
41073897, 129, 1 
41073897, 130, 1 
41073897, 131, 1 
41073897, 133, 1 
41073897, 134, 1 
41073897, 135, 1 
41073897, 136, 1 
41073897, 137, 1 
41073897, 138, 1 
41073897, 139, 1 
41073897, 140, 1 
41073897, 141, 1 
41073897, 142, 1 
41073897, 143, 1 
41073897, 144, 1 
41073897, 145, 1 
41073897, 146, 1 
41073897, 147, 1 
41073897, 148, 1 
41073897, 149, 1 
41073897, 150, 1 
41073897, 151, 1 
41073897, 152, 1 
