Doulist, Page, NO., ID, Score, Rating, Votes, Title 
79909, 2, 36, 6082808, 76.7, 9.2, 93486, 百年孤独 
79909, 2, 37, 6016234, 50.5, 8.8, 3050, 奇风岁月 
79909, 2, 38, 2567698, 73.9, 8.8, 124615, 三体 
79909, 2, 39, 1494940, 46.2, 9.1, 1101, 围城 
79909, 2, 40, 1962249, 37.4, 8.3, 630, 换位 
79909, 2, 41, 1959270, 40.3, 8.0, 1516, 小世界 
79909, 2, 42, 2003092, 44.1, 8.3, 1997, 波多里诺 
79909, 2, 43, 3836566, 51.4, 8.5, 5229, 玫瑰的名字 
79909, 2, 44, 4124970, 42.1, 9.1, 593, 生死线 
79909, 2, 45, 6133513, 28.2, 7.9, 187, 阿斯彭文稿 
79909, 2, 46, 5939312, 49.3, 8.2, 5719, 超·杀人事件 
79909, 2, 47, 6010144, 42.4, 8.3, 1497, 动物寓言集 
79909, 2, 48, 6813370, 37.5, 8.2, 715, 雾中回忆 
79909, 2, 49, 6795725, 46.5, 8.6, 2036, 燃灯者 
79909, 2, 50, 6730591, 27.5, 7.8, 178, 我们一起去纽约 
485463, 4, 76, 1945493, 42.1, 8.0, 2118, 孤芳不自赏1 
485463, 4, 77, 1945492, 40.0, 8.3, 994, 孤芳不自赏2 
485463, 4, 78, 1945496, 40.4, 8.3, 1057, 孤芳不自赏3 
485463, 4, 79, 1945497, 40.9, 8.4, 1018, 孤芳不自赏4 
485463, 4, 80, 1945499, 40.9, 8.4, 1022, 孤芳不自赏5 
485463, 4, 81, 4224758, 46.5, 7.3, 15961, 花千骨（上下） 
485463, 4, 82, 2048364, 54.7, 8.1, 17457, 独步天下（上下卷） 
485463, 4, 83, 3274141, 40.6, 7.9, 1830, 秀丽江山·朱雀卷 
485463, 4, 84, 3260520, 40.4, 8.0, 1545, 秀丽江山·玄武卷 
485463, 4, 85, 2375894, 41.1, 7.9, 2016, 秀丽江山·白虎卷 
485463, 4, 86, 2257608, 40.7, 7.9, 1864, 秀丽江山·青龙卷 
