Doulist, Number of Books 
133120, 41 
73746, 202 
36954142, 117 
426331, 0 
79909, 71 
206887, 0 
417834, 0 
141365, 0 
198713, 212 
174139, 52 
1294399, 97 
405298, 51 
227412, 0 
485463, 255 
102491, 100 
77917, 30 
41855072, 966 
32075873, 572 
43108, 36 
409710, 256 
589935, 12 
436338, 0 
233589, 0 
308927, 237 
233596, 6 
577663, 0 
297090, 8 
189803, 0 
100487, 64 
1185931, 110 
518284, 7 
919697, 254 
1314966, 29 
4028570, 1221 
3440798, 100 
821278, 97 
2668736, 118 
168129, 215 
35018, 100 
1757387, 301 
37114076, 91 
938208, 0 
225524, 181 
76022, 24 
207110, 108 
258312, 281 
233746, 5 
3203347, 866 
40644896, 172 
147748, 57 
18725, 19 
37912871, 219 
37828920, 100 
225597, 27 
41278, 168 
12608, 217 
41281, 146 
221506, 39 
43899203, 37 
1253700, 24 
401740, 20 
14090587, 609 
541024, 56 
463204, 0 
321895, 20 
31086, 17 
2627954, 699 
508278, 39 
1763710, 102 
309644, 21 
481692, 72 
1757597, 100 
1196446, 73 
217511, 196 
76201, 270 
242077, 191 
38781360, 37 
37305, 100 
37749198, 180 
36836771, 91 
455141, 103 
721391, 196 
14833, 165 
223732, 256 
61941, 15 
3440724, 100 
82429, 67 
37375, 100 
1456643, 82 
29189, 0 
561677, 256 
3361299, 519 
37325339, 27 
643613, 0 
113188, 31 
78373, 13 
313897, 6 
600628, 0 
177246, 0 
600630, 0 
13468216, 352 
3441212, 10 
201299, 11 
164439, 73 
176739, 106 
1643115, 255 
143980, 0 
283254, 256 
43967104, 39 
184968, 48 
3672716, 37 
223889, 46 
206958, 74 
55964, 74 
3371955, 33 
31390, 75 
316869, 217 
127649, 41 
1125026, 29 
2546459, 27 
1757869, 219 
76469, 102 
916150, 53 
150200, 144 
35519, 1207 
36702919, 79 
250576, 245 
250584, 23 
49885, 81 
82662, 96 
28796, 217 
37323512, 100 
242430, 6 
559872, 18 
1651462, 26 
1739529, 244 
150286, 148 
527119, 0 
248592, 254 
883483, 65 
453664, 30 
115496, 142 
1479469, 132 
11057, 22 
49970, 134 
193348, 32 
611144, 85 
1928009, 24 
4162379, 166 
209758, 77 
43430373, 2575 
36912614, 2 
38839142, 12 
19303, 86 
52075, 37 
582509, 0 
201587, 11 
117625, 0 
154493, 41 
621438, 6 
207743, 31 
417600, 0 
1364866, 450 
43836300, 20 
566160, 256 
109457, 26 
175001, 87 
2464670, 3 
37325739, 30 
611251, 61 
1298590, 251 
37530556, 100 
4002752, 177 
107469, 12 
111573, 43 
182777, 233 
37919722, 468 
848882, 0 
551925, 8 
54273, 32 
43107333, 918 
459787, 256 
189457, 114 
35858, 80 
699416, 0 
36805658, 219 
36680731, 214 
191516, 91 
574493, 254 
142368, 7 
1264675, 418 
4031665, 233 
144439, 246 
43015231, 44 
37323842, 20 
1447780, 0 
574558, 0 
205923, 126 
171108, 54 
136300, 0 
66684, 33 
4036458, 441 
48257, 256 
15494, 149 
437384, 173 
523401, 173 
72844, 125 
91281, 98 
203925, 200 
189591, 67 
42736792, 1018 
777372, 171 
203936, 137 
87204, 174 
36695209, 41 
1449137, 0 
33975, 0 
525499, 111 
2759878, 81 
21091528, 198 
44238, 42 
13525, 233 
945373, 91 
472290, 75 
41073897, 4652 
234733, 200 
322805, 34 
40569385, 529 
11477, 42 
43474176, 393 
232710, 20 
122124, 29 
13956369, 0 
15641, 127 
535845, 249 
85297, 55 
36502836, 439 
1805627, 23 
161084, 44 
600629, 0 
372033, 25 
582994, 4 
525653, 39 
37528919, 100 
169307, 256 
20172127, 12401 
171368, 151 
578921, 255 
152939, 31 
212335, 107 
163187, 17 
11637, 194 
15746, 32 
38841731, 0 
138636, 0 
107921, 25 
140702, 12 
591266, 0 
212387, 0 
591269, 6 
226728, 263 
253360, 76 
531890, 48 
11700, 55 
251325, 96 
226757, 0 
650708, 0 
1420774, 91 
69107, 62 
562678, 53 
593410, 256 
407054, 0 
146974, 43 
1197610, 256 
177707, 11 
235055, 131 
46003, 80 
378462, 13 
239158, 30 
1500736, 172 
1953361, 256 
2455132, 130 
257630, 132 
509569, 50 
513669, 250 
3382921, 169 
202378, 125 
503437, 0 
37326481, 13 
89754, 256 
179877, 20 
173741, 37 
37158586, 5 
327359, 208 
67266, 72 
87754, 38 
37326540, 1 
1336269, 40 
1277652, 98 
138965, 256 
1235237, 100 
1863427, 255 
1156868, 34 
423685, 102 
1246984, 147 
38391562, 753 
855819, 240 
243468, 51 
493336, 20 
247582, 0 
153221, 87 
24358, 34 
10027, 19 
311086, 61 
657200, 38 
446258, 105 
300864, 10 
141125, 100 
186198, 21 
730971, 100 
12132, 11 
225125, 6 
571240, 7 
196458, 33 
36708212, 332 
446325, 99 
2791290, 141 
208769, 0 
178051, 87 
913288, 24 
176014, 255 
26514, 150 
143251, 115 
989078, 78 
1253285, 178 
778166, 67 
42942, 13 
34754, 230 
125601, 255 
10187, 25 
10188, 5 
612307, 16 
34772, 257 
37900246, 343 
37353453, 103 
40611824, 562 
575474, 0 
21121017, 332 
