Doulist, Number of Books 
102491, 100 

ID, Score, Rating, Votes, Date, Title 
1286028, 14.7, 7.8, 16, 2000-7-1, 官场现形记（上下） 
1089548, 20.0, 7.3, 65, 2000-07, 孽海花 
1105740, 21.1, 8.1, 43, 2000-7-1, 老残游记 
1086452, 22.7, 8.6, 41, 2000-7-1, 二十年目睹之怪现状 
1089549, -4.5, 0.0, 6, 2000-7-1, 人境庐诗草 
1535592, 18.6, 6.9, 69, 2000-7, 尝试集 
1105916, 15.4, 6.4, 52, 2000-7-1, 女神 
1086444, 37.9, 7.5, 1956, 2000-7, 沉沦 
1961808, 48.5, 9.2, 1387, 2006-12, 呐喊 
1105292, 17.5, 8.0, 24, 2000-7, 繁星 
1105957, -5.2, 0.0, 8, 2000-7-1, 南社丛选（上、下） 
1055357, 38.7, 8.5, 634, 2002-1, 雨天的书 
1005289, 29.1, 8.0, 199, 1983-8-1, 志摩的诗 
2057306, -2.7, 0.0, 3, 2003, 寄小读者 
1961815, 44.1, 9.1, 798, 2006-12, 彷徨 
1105195, 29.9, 9.0, 99, 2000-7-1, 野草 
1063826, 26.3, 7.8, 144, 2004-07, 死水 
1084354, 11.6, 6.7, 16, 1998-5, 在黑暗中 
1089478, 22.9, 6.9, 184, 2000-7-1, 倪焕之 
2249537, 20.1, 7.9, 41, 1981, 啼笑因缘 
1086445, 27.3, 8.5, 94, 2000-7-1, 缘缘堂随笔 
1523840, 20.9, 7.5, 65, 2000-7, 新月诗选 
1202378, 13.1, 7.6, 13, 2000-7-1, 鲁迅杂感选集/百年百种优秀中国文学图书 
1084355, 21.3, 8.5, 35, 2000-1, 望舒草 
1535593, 17.2, 7.9, 24, 2000-7, 烙印 
1092248, 32.8, 7.3, 920, 1960-4-1, 子夜 
1105925, 23.9, 8.3, 62, 2000-7-1, 家 
1202373, 43.9, 8.8, 1054, 2000-7-1, 边城 
1105952, 23.8, 8.3, 61, 2000-7, 南行记 
1394402, 39.4, 8.4, 788, 2000-7, 死水微澜 
1089476, 19.9, 8.1, 35, 2000-07-01, 大堰河 
1086447, 34.0, 9.0, 186, 2000-07-01, 湘行散记 
1227535, 28.0, 8.4, 115, 1997-1-1, 何其芳：画梦录 
1105819, 10.6, 6.9, 11, 2000-7, 萍踪忆语 
1086446, 21.8, 7.7, 66, 2000-7, 包身工 
1202372, 27.4, 8.5, 96, 2000-7-1, 骆驼祥子 
1529412, 14.1, 7.2, 20, 2000-7, 黄河大合唱 
1614049, 34.1, 8.7, 246, 2000-7, 呼兰河传 
1202366, 20.5, 6.5, 168, 2000-7-1, 屈原 
1324915, 35.3, 8.7, 296, 2000-7-1, 十四行集 
1105908, 10.4, 7.0, 10, 2000-7, 给战斗者 
1130073, 17.5, 7.8, 27, 2001-1, 速写三篇 
1521489, 31.0, 7.0, 990, 2000-07-01, 小二黑结婚 
1105712, 34.4, 9.0, 199, 2000-7, 传奇 
1086453, 13.8, 6.7, 27, 2000-07-01, 小城风波 
1535590, 21.9, 7.7, 68, 2000年7月1日, 风雪夜归人 
1089477, 18.4, 6.9, 65, 2000-7, 白毛女 
1535594, 31.1, 9.0, 119, 2000-07, 穆旦诗集(1939-1945) 
1080364, 23.7, 8.0, 74, 2004-03, 财主底儿女们 
1105943, -5.2, 0.0, 8, 2000-7, 解放区短篇创作选 
1089475, 30.0, 8.4, 162, 2000-07-01, 果园城记 
1086448, 17.0, 7.1, 40, 2000-07-01, 王贵与李香香 
1494940, 46.2, 9.1, 1101, 1991-02-01, 围城 
1089480, 18.8, 8.5, 23, 2000-7, 人生采访 
1059040, 46.6, 8.6, 2092, 1999-11, 雅舍小品 
1105809, 25.4, 8.7, 60, 2000-7, 曹禺剧本选 
2173461, 20.2, 7.7, 49, 1952年5月, 可爱的中国 
1089766, 11.6, 6.1, 25, 1954-6-1, 保卫延安 
1045232, 18.2, 6.6, 84, 2004-09, 红旗谱 
1105975, 29.3, 8.8, 104, 2000-7-1, 茶馆 
1089540, 21.8, 7.2, 104, 2000-07-01, 关汉卿 
1086451, 22.6, 7.1, 137, 2000-7-1, 青春之歌 
1026077, 18.7, 7.8, 34, 2004-03, 白洋淀纪事 
1202368, 35.9, 8.8, 298, 2000-7-1, 城南旧事 
1291101, 17.7, 8.3, 21, 2000-7-1, 阿诗玛 
1223750, 26.0, 7.2, 254, 2005-1, 创业史（全二册） 
1090109, 41.3, 7.7, 2793, 2000-07, 红岩 
1410745, 18.0, 7.8, 30, 1979-4, 燕山夜话（1-5集） 
2257624, -3.5, 0.0, 4, 1976, 毛主席诗词 
1089544, 21.9, 7.7, 67, 1999-8, 李自成（第1卷 上下） 
1089542, 27.9, 8.0, 160, 2000-7-1, 酒徒 
2142012, 32.6, 8.8, 178, 1985/11, 台北人 
1089499, 28.1, 8.0, 165, 2000-7, 将军族 
1089495, 12.7, 6.4, 26, 2000-7, 郭小川诗选 
1530391, 22.8, 7.2, 128, 2000-07, 哥德巴赫猜想 
