Doulist, Number of Books 
42942, 13 

ID, Score, Rating, Votes, Date, Title 
1147633, 11.7, 7.2, 12, 2004-1, 雅趣四书 
1148769, 14.4, 7.4, 19, 2004-1-1, 读书四观 
1150058, 17.7, 8.5, 19, 2004-1, 快谈四书 
1147634, 15.2, 7.5, 21, 2004-1, 禅林四书 
1148770, 23.1, 8.4, 50, 2004-1-1, 日记四种 
1147632, 22.7, 8.4, 47, 2004-1, 才子四书 
1148545, -5.2, 0.0, 8, 2004-1, 格言四种 
1149725, 26.9, 8.8, 71, 2004-1, 品书四绝 
1149597, 32.2, 8.8, 166, 1995, 闲书四种 
1149726, 18.2, 7.8, 31, 2004-1, 奇书四评 
1148771, -4.0, 0.0, 5, 2004-1, 养生四书 
1150057, 12.4, 7.9, 10, 1997-3, 语录四种 
1020934, 20.1, 8.1, 36, 2004-1, 怡情四书 
