Doulist, Number of Books 
253360, 76 

ID, Score, Rating, Votes, Date, Title 
1551217, 22.9, 8.2, 56, 1996-3, 中国哲学史大纲 
1964774, 57.5, 9.0, 6899, 2006-12, 论语 
1417574, 39.8, 9.2, 380, 1996, 老子 
2971663, 42.3, 9.4, 461, 1996, 庄子 
1020440, 17.7, 8.0, 25, 1997-03, 管子 
1022293, -4.0, 0.0, 5, 1998-12, 列子·文子 
1214305, 37.8, 8.9, 368, 2003-03-01, 墨子 
1214302, 36.9, 8.8, 352, 2003-1, 荀子 
1979358, 17.6, 7.9, 26, 2006-11, 尸子译注 
3060311, -2.7, 0.0, 3, 1995, 孙子 
3070768, -3.5, 0.0, 4, 1998, 孔子集语校补 
1020902, 12.4, 7.2, 14, 1998-03, 晏子春秋 
2194018, 23.8, 8.9, 41, 2007-6, 吕氏春秋 
3116262, -0.0, 0.0, 1, 2008-7, 中国古代文化全阅读 
2252952, -5.2, 0.0, 8, 1989-9, 春秋繁露 
3116294, -0.0, 0.0, 1, 2008-7, 中国古代文化全阅读 
1254942, 46.7, 9.2, 1064, 2003-11, 黄帝内经 
3116303, 16.0, 7.6, 23, 2009-7, 竹书纪年 
1925910, 21.7, 8.5, 37, 2006-11, 商君书.韩非子 
3343496, 19.3, 8.3, 28, 2009-1, 淮南子 
1823533, 46.7, 8.7, 1869, 2006-5, 山海经 
1257360, 42.2, 8.8, 805, 2004-02-01, 孟子 
1543921, -5.2, 0.0, 8, 1900-01-01, 大学  中庸 
3597541, 0.0, 0.0, 0, 1984年, 淮南旧注参正 墨子间诂参正 
1045067, -5.2, 0.0, 8, 1997-03, 周礼 仪礼 
3745400, -4.5, 0.0, 6, 1982, 章氏叢書正續編(二冊) 
