Doulist, Number of Books 
13468216, 352 

ID, Score, Rating, Votes, Date, Title 
10431236, 38.9, 8.5, 653, 2012-2-28, The Power of Habit 
7564729, 19.7, 7.2, 66, 2012-3, 打死父亲 
6974199, 34.8, 8.5, 332, 2011-11, 小毛驴与我 
26348884, 21.6, 7.2, 100, 2015-3, 佐藤可士和：我的创意新规则 
26376508, 17.2, 6.9, 50, 2015-5-1, 佐藤可士和：把创意经营成生意 
26426917, 41.8, 8.6, 945, 2015-8, 瓦尔登湖 (全注疏本) 
26394207, 29.0, 8.0, 194, 2015-6-15, 给孩子的散文 
25982178, 25.1, 8.5, 66, 2014-8-1, 世界伟大城市的保护 
1469339, 31.3, 8.7, 157, 2001-4, 物体系 
4066115, -4.9, 0.0, 7, 2009-9, 物質文化 
20492371, 27.7, 8.5, 101, 2012-11, 师从天才 
6890669, 39.3, 7.6, 2217, 2012-1, 我不是来演讲的 
26295448, 51.6, 8.7, 4133, 2015-5, 你一生的故事 
26232736, 31.7, 8.8, 153, 2015-4-1, 北极熊Café 
2136484, 55.2, 8.7, 7394, 2007-6, 如果在冬夜，一个旅人 
4200003, 0.0, 0.0, 0, 1992.12, 耶稣会士与中国科学 
26269845, 39.2, 8.1, 1100, 2015-3, 唯有孤独恒常如新 
3658085, 38.7, 8.2, 885, 2009-4, 幸福的建筑 
1426069, 24.0, 8.4, 58, 2005-5, 狗年月 
3597031, 53.1, 9.1, 3127, 2009-2-1, 杀死一只反舌鸟 
6999940, 41.2, 8.3, 1208, 2012-1, 2666 
4191699, 41.5, 8.3, 1282, 2010-1, 午后曳航 
17605380, 43.6, 8.6, 1276, 2012-9, 心是孤独的猎手 
25785271, 22.2, 7.1, 124, 2014-1-1, 男人的菜市场 
1032501, 57.8, 8.7, 11240, 2003-10, 心理学与生活 
1074986, 29.0, 8.1, 179, 2001-2-1, 我的哲学的发展 
1048109, 39.4, 8.6, 637, 1998-10, 第三波 
2269541, 26.7, 8.6, 79, 2007, 我們的新世界 
1259315, 38.8, 8.7, 522, 1900-01-01, 哲学问题 
2988944, 44.5, 8.7, 1312, 2008-2, 金翼 
1958122, 26.3, 7.9, 131, 2007, 创造性破坏 
2354988, 31.6, 7.6, 492, 2008-01, 集装箱改变世界 
26148066, 29.8, 8.3, 169, 2014-10-1, 第一律法 [卷一] 
10580819, 31.8, 8.9, 143, 2012-8-7, 金字塔 
3191247, 48.2, 8.7, 2377, 2008, 好兆头 
6265773, 30.8, 7.4, 536, 2011-6, 巨龙的颂歌 
5944388, 27.1, 7.5, 225, 2011-1, 开始写吧！-非虚构文学创作 
25828877, 29.1, 8.6, 118, 2014-3-6, 小說藥方 
25901055, 23.2, 7.7, 87, 2014-6, 野蛮进化 
1003003, 21.8, 8.5, 38, 1998-12-01, 泰和宜山会语 
26319527, 35.9, 8.1, 611, 2015-4, 性学三论 
26312479, 21.4, 7.6, 66, 2015-4, 不要给我讲故事，我需要的是人物 
26276409, 30.7, 7.6, 413, 2015-3, 带着鲑鱼去旅行 
25981276, 30.8, 8.3, 204, 2015-3, 双行星与小卷兽 
