Doulist, Number of Books 
1156868, 34 

ID, Score, Rating, Votes, Date, Title 
3323633, 55.2, 8.6, 8552, 2009-1, 写给大家看的设计书（第3版） 
1827702, 51.9, 8.5, 5677, 2006-8, 点石成金 
3988148, 27.7, 7.8, 185, 2009-8, 平面设计法则 
2201860, 32.1, 8.7, 177, 2008-4, 美国视觉传达完全教程 
1288844, 46.0, 8.2, 3183, 2003-10-1, 设计心理学 
3162991, 60.7, 9.6, 5193, 2008-04, 艺术的故事 
2348880, 32.2, 8.7, 181, 2007-12-01, 现代设计史 
3519868, 27.7, 8.1, 141, 2009-1, 平面设计视觉词典 
3919668, 30.6, 8.3, 194, 2009-8, 产品的诞生 
3070283, 29.7, 8.3, 168, 2008-4, 文字设计基础教程 
1291969, 35.3, 8.2, 488, 2004年1月 第1版, 七日掌握设计配色基础 
4230237, 56.2, 9.0, 5664, 2010-09, 设计中的设计 | 全本 
1952242, 28.5, 8.6, 107, 2006-11, 美国广告设计实用教程 
1491830, 37.5, 8.4, 575, 2006-1, 栅格系统与版式设计 
3003592, 21.9, 7.8, 62, 2008-1, 平面设计材料表现与特殊效果 
3300473, 27.4, 8.2, 123, 2008-1, 平面设计工艺 
1491819, 18.1, 6.9, 61, 2006-1-1, 品牌标志 
1833714, 28.4, 8.4, 124, 2006-3, 标志字体设计圣经 
2327417, 38.0, 9.3, 269, 2007-12, 大师之路 
2224412, 33.8, 8.5, 278, 2007-9, PHOTOSHOP CS/CS2 WOW!BOOK 
3419382, 28.9, 9.1, 80, 2009-1, The Adobe Illustrator cs3 WOW！Book 
2977494, 21.0, 8.5, 33, 2008-3, THE Painter X Wow! BOOK(附赠1CD) 
1479072, 22.3, 8.1, 54, 2002-04-01, 消费者行为学 
1314262, 42.0, 8.0, 2086, 2005-5, 情感化设计 
3990022, 52.3, 9.3, 2205, 2010-8, 美国纽约摄影学院摄影教材（上册） 
3990023, 45.3, 9.1, 961, 2010-8, 美国纽约摄影学院摄影教材（下册） 
2365393, 37.6, 8.3, 658, 2008-03-01, Designing Interfaces中文版 
3169342, 37.3, 8.1, 786, 2008年8月, Web信息架构(第3版) 
3279105, 43.1, 8.6, 1171, 2008-11, About Face 3 交互设计精髓 
3821157, 38.1, 8.5, 570, 2009年7月, Web界面设计 
1603076, 31.3, 8.7, 155, 2000-1, 艺术·设计的平面构成 
1603077, 27.6, 8.5, 99, 2000, 艺术·设计的色彩构成 
1603078, 20.8, 8.3, 36, 2000-11, 艺术·设计的光构成 
1115792, 25.8, 8.5, 74, 2000-10-01, 艺术·设计的立体构成 
