Doulist, Number of Books 
169307, 256 

ID, Score, Rating, Votes, Date, Title 
1510451, 44.9, 9.4, 667, 2006-5, 脂砚斋全评石头记(上下册) 
3191229, 45.9, 8.9, 1305, 2008-8, 金瓶梅词话（全两册） 
1953785, 39.9, 9.4, 326, 2009-12, 古文观止译注（上中下） 
1468602, 53.5, 9.1, 3338, 2000-7, 围城 
1097305, 45.4, 8.9, 1212, 2002-3, 张爱玲小说 
1029469, 31.5, 8.7, 160, 1999-4-1, 鲁迅散文 
1292422, 29.5, 9.4, 72, 2005-03, 唐诗三百首 
1076598, 47.4, 8.7, 2102, 2002-5, 宋诗选注 
1426180, 29.9, 9.0, 99, 2005-8, 唐宋词选释 
1315258, 41.8, 9.0, 616, 2005-05, 中国古代服饰研究 
1655362, 44.8, 9.1, 881, 2005-5-1, 小王子 
3108835, 51.2, 9.0, 2646, 2008-5, 让爱点亮 
2251434, 56.0, 9.0, 5558, 2007-9, 被爱路过 
1056324, 38.9, 9.1, 363, 2005-03, 鲁迅小说全编 
1083003, 52.9, 8.7, 5044, 1998-3, 尘埃落定 
1807997, 35.0, 9.3, 171, 2006-5-1, 陶庵梦忆 
1121985, 31.0, 8.0, 279, 1999-1, 喻世明言 
1073708, 56.1, 9.0, 5601, 1963-4-1, 牡丹亭 
1209813, 27.4, 8.6, 90, 1996-7-1, 安娜·卡列宁娜 
1205367, 49.7, 8.5, 3953, 1990-8-1, 呼啸山庄 
1071336, 31.4, 8.3, 225, 1998-01, 心灵世界 
1014578, 63.4, 9.0, 17221, 1997, 我的精神家园 
1460340, 49.3, 8.9, 2205, 2005-8, 人性的，太人性的 
2274861, 29.9, 8.0, 230, 2007-8, 100名画：古希腊罗马神话 
1283330, 38.6, 8.8, 461, 2006-05-01, 世界美术名作二十讲 
1933931, 50.9, 8.7, 3673, 2006-11, 沿着塞纳河到翡冷翠 
1442490, 29.4, 8.1, 189, 2006-1, 中国建筑艺术二十讲 
1794620, 56.6, 7.8, 43089, 2006-6, 芒果街上的小屋 
1025336, 48.7, 7.9, 8249, 2003-03, 慢 
1877096, 44.2, 8.1, 2667, 2006-9, 花间十六声 
1089243, 68.4, 8.8, 52276, 1999-3, 黄金时代 
1022210, 33.3, 8.3, 310, 1997-11, 贝姨 
1025156, 38.4, 8.7, 491, 2000-9-1, 中国史学名著 
2221899, 35.5, 9.0, 236, 1957-4, 先知 
1011662, 48.3, 7.9, 7732, 2001-8, 再袭面包店 
