Doulist, Number of Books 
2455132, 130 

ID, Score, Rating, Votes, Date, Title 
1200840, 74.4, 9.0, 93620, 2005-1, 平凡的世界（全三部） 
4913064, 73.4, 9.3, 48752, 2012-8-1, 活着 
2039931, 56.9, 9.0, 6305, 2007-3, 小王子 
3608208, 65.4, 8.6, 45181, 2009-3-1, 牧羊少年奇幻之旅 
1083474, 59.8, 9.2, 7488, 1990-8, 飘（全二册） 
2340100, 60.8, 8.1, 52163, 2008-1, 遇见未知的自己 
1858576, 68.1, 9.3, 22465, 2006-8, 一九八四 
1083428, 71.1, 8.8, 80105, 1993-7, 傲慢与偏见 
1141406, 69.2, 8.5, 101469, 2003-11, 简爱 
1007305, 81.4, 9.5, 112405, 1996-12, 红楼梦 
2159042, 62.3, 8.4, 38588, 2007-7, 挪威的森林 
1865089, 58.1, 8.4, 19053, 2006-8, 瓦尔登湖 
1008145, 77.4, 8.9, 179246, 1991-2, 围城 
1017143, 70.6, 8.5, 129779, 2003-7, 不能承受的生命之轻 
2567698, 73.9, 8.8, 124624, 2008-1, 三体 
1770782, 78.2, 8.8, 247138, 2006-5, 追风筝的人 
1045818, 65.9, 8.5, 59030, 1999-04, 苏菲的世界 
4242172, 65.8, 8.3, 84301, 2010-2, 天才在左 疯子在右 
6082808, 76.7, 9.2, 93495, 2011-6, 百年孤独 
1082334, 64.2, 8.3, 64529, 1988-12-1, 穆斯林的葬礼 
1858513, 70.5, 8.9, 61260, 2006-8, 月亮和六便士 
20427187, 73.0, 8.8, 108154, 2013-1-1, 看见 
1022060, 64.9, 8.3, 72772, 2004-4, 狼图腾 
1082406, 64.2, 8.8, 26615, 2009-07-01, 黄金时代 
1880831, 60.1, 9.2, 7824, 2007-01-23, 基督山伯爵（上下册） 
1775691, 63.0, 8.3, 51757, 2007-1, 少有人走的路 
5407295, 36.4, 9.2, 230, 2010-11, 悲惨世界（上下） 
1033163, 49.2, 9.2, 1539, 2009-2, 老子注译及评介 
1019568, 72.8, 9.2, 52511, 1998-05, 三国演义（全二册） 
1041007, 73.6, 9.0, 82288, 2000-9, 哈利·波特与魔法石 
1873231, 70.9, 8.8, 77364, 2006-9, 明朝那些事儿（壹） 
1056295, 57.1, 8.3, 18794, 2008-1, 人性的弱点全集 
3259440, 79.6, 9.1, 172340, 2008-9, 白夜行 
3079029, 56.3, 8.8, 7623, 2008-5-1, 大秦帝国 
2035179, 68.6, 9.2, 28010, 2007-3, 动物农场 
6710437, 69.3, 9.3, 26639, 2011-1-7, 撒哈拉的故事 
2359003, 54.4, 8.2, 14018, 2008-2, 沉思录 
2035162, 65.1, 9.0, 22335, 2007-3, 刀锋 
3266968, 48.8, 7.3, 26267, 2008-11, 秘密 
1803022, 61.4, 9.0, 12718, 1996, 圣经 
6789999, 37.8, 8.0, 973, 2011-9-9, 拆掉思维里的墙（精装版） 
5437113, 57.1, 9.0, 6558, 2011-1, 窗边的小豆豆 
3369793, 67.1, 8.7, 50071, 2008-12, 亲爱的安德烈 
5910656, 59.6, 9.2, 7348, 2011-1-1, 我与地坛 
6431994, 56.5, 8.3, 16995, 2011-6, 悟空传 
3224818, 46.4, 8.5, 2278, 2008, 安妮宝贝系列 
4908885, 64.3, 9.0, 19777, 2010-9, 局外人 
3803820, 56.4, 8.4, 14270, 2009-5, 人生 
1041482, 69.8, 8.9, 54579, 1997-5, 万历十五年 
