Doulist, Number of Books 
36708212, 332 

ID, Score, Rating, Votes, Date, Title 
1883245, 63.7, 9.4, 10223, 2006-7, 诗经 
1059258, 63.4, 9.4, 9719, 1999-10, 道德经 
1013267, 61.7, 9.3, 8678, 1984-07-01, 唐诗三百首 
1077847, 65.8, 9.5, 12163, 1982-11, 史记（全十册） 
1029553, 61.5, 8.7, 20364, 2004-8, 西游记（全二册） 
1019568, 72.8, 9.2, 52512, 1998-05, 三国演义（全二册） 
1008357, 59.9, 8.5, 21594, 1997-1, 水浒传（全二册） 
1007305, 81.4, 9.5, 112406, 1996-12, 红楼梦 
1088581, 60.8, 8.9, 13364, 1999-1, 浮生六记 
1014561, 59.7, 9.0, 9754, 1987-1-1, 古文观止 
1203426, 62.2, 9.0, 14236, 1998-12-01, 人间词话 
1398395, 60.2, 8.6, 19283, 2006-3, 狂人日记 
1449351, 65.8, 8.8, 34481, 1973年3月, 呐喊 
1449352, 60.3, 8.6, 19605, 1972年4月, 朝花夕拾 
1088065, 62.5, 8.6, 28127, 2003-7-1, 阿Q正传 
1043815, 58.3, 8.2, 27873, 2000-3-1, 骆驼祥子 
1082522, 54.1, 8.2, 13313, 1981-09-01, 家 
1391191, 59.8, 8.5, 21414, 2005-7, 京华烟云 
1057244, 67.5, 8.6, 63702, 2002-4, 边城 
1008145, 77.4, 8.9, 179246, 1991-2, 围城 
1023045, 67.9, 8.6, 68186, 2003-7, 我们仨 
1013416, 59.7, 8.5, 20838, 1999-05, 雷雨 
1082154, 77.2, 9.1, 119541, 1998-5, 活着 
1029791, 67.8, 8.7, 56153, 1998-9, 许三观卖血记 
1082138, 55.0, 8.3, 13136, 1999-1, 在细雨中呼喊 
1401425, 63.4, 8.3, 56116, 2005-8, 兄弟（上） 
1703544, 52.4, 7.5, 35446, 2006-3, 兄弟（下） 
1082162, 56.4, 8.3, 16711, 1997-3, 第一炉香 
1090043, 68.0, 8.5, 82900, 1997-3-1, 倾城之恋 
1963684, 63.4, 8.6, 32715, 2006-12, 半生缘 
2267883, 50.5, 7.9, 11618, 2007-10, 色，戒 
1004992, 58.9, 8.8, 11457, 1992年, 张爱玲文集 
3616310, 53.9, 7.6, 38775, 2009-4, 小团圆 
1014278, 61.9, 8.4, 36262, 1996-06, 红玫瑰与白玫瑰 
3017857, 61.2, 8.5, 26810, 2005年6月, 金锁记 
1361264, 70.7, 9.0, 53246, 1976, 撒哈拉的故事 
1029111, 65.8, 8.9, 28970, 2003-6, 哭泣的骆驼 
1036490, 60.1, 8.8, 13974, 2003-08, 万水千山走遍 
2136140, 59.1, 8.7, 13725, 2007-7, 雨季不再来 
2070844, 63.8, 8.8, 24978, 2007-6, 梦里花落知多少 
1089243, 68.4, 8.8, 52276, 1999-3, 黄金时代 
1085883, 58.2, 8.6, 14021, 1997-5, 青铜时代 
1082150, 56.0, 8.3, 15649, 1997-5, 白银时代 
1054685, 68.3, 9.0, 36512, 1997-10, 沉默的大多数 
1418686, 58.0, 8.6, 13545, 2005-1, 红拂夜奔 
1014578, 63.4, 9.0, 17221, 1997, 我的精神家园 
3071717, 64.9, 8.8, 29558, 2008-5, 爱你就像爱生命 
1767945, 63.7, 8.8, 24701, 2006-4, 一只特立独行的猪 
1143694, 55.4, 8.2, 16621, 2004-2, 动物凶猛 
1015584, 51.7, 8.0, 12175, 2004-9, 看上去很美 
1255625, 71.8, 9.1, 53295, 1994-5, 天龙八部 
1002299, 68.9, 8.9, 47706, 1994-5, 笑傲江湖（全四册） 
1255624, 67.3, 8.8, 43363, 1994-5, 神雕侠侣 
1212893, 64.2, 8.8, 26558, 2008-3, 鹿鼎记（全五册） 
1044547, 66.2, 8.9, 31177, 1999-04, 射雕英雄传（全四册） 
1070851, 60.4, 8.5, 23503, 1999-04, 倚天屠龙记(共四册) 
1793132, 47.8, 7.5, 14202, 1993-11, 白马啸西风 
1068308, 49.0, 7.6, 14855, 1999-04, 雪山飞狐 
1076045, 49.0, 7.6, 14940, 1999-04, 连城诀 
1089512, 57.2, 8.6, 11792, 2005-8, 陆小凤传奇 
1089517, 55.2, 8.4, 11505, 2005-8, 绝代双骄（全三册） 
1080309, 60.4, 8.4, 28067, 1998-3-1, 尘埃落定 
1254588, 63.8, 8.9, 21231, 2003-7, 城南旧事 
1209899, 62.8, 9.0, 15701, 2002-5, 我与地坛 
1082349, 57.9, 8.2, 25757, 2003-8, 长恨歌 
1085799, 63.8, 8.6, 35063, 1997年, 白鹿原 
1082334, 64.2, 8.3, 64529, 1988-12-1, 穆斯林的葬礼 
1200840, 74.4, 9.0, 93620, 2005-1, 平凡的世界（全三部） 
4169424, 50.5, 7.9, 11627, 2009-12, 蛙 
1043485, 52.2, 8.1, 11263, 2001-3, 檀香刑 
1417905, 43.1, 7.1, 11815, 1993, 废都 
1025753, 55.9, 8.2, 18046, 2004-8, 妻妾成群 
1018577, 61.0, 8.9, 13746, 2001-5, 霸王别姬 青蛇 
1061977, 58.0, 8.7, 11642, 2004-03, 血色浪漫 
1088022, 60.0, 8.9, 11743, 2005-3, 亮剑 
1022060, 64.9, 8.3, 72772, 2004-4, 狼图腾 
4842446, 59.8, 8.7, 15548, 2010-10, 巨流河 
4124727, 58.2, 8.1, 32494, 2009-10-1, 孤独六讲 
1027191, 66.3, 9.0, 26822, 1997-5, 历史深处的忧虑 
1056315, 60.2, 8.8, 14140, 2004-08, 总统是靠不住的 
1001885, 58.6, 8.5, 17457, 2002-5, 带一本书去巴黎 
1014825, 60.2, 9.0, 10532, 2004-08, 我也有一个梦想 
1025723, 54.3, 8.3, 11649, 2001-1, 潜规则 
1059336, 61.9, 8.6, 25414, 2004-1, 往事并不如烟 
1003479, 65.7, 9.1, 21157, 2001, 中国历代政治得失 
1041482, 69.8, 8.9, 54579, 1997-5, 万历十五年 
1015699, 56.6, 8.3, 17315, 2007-2, 中国大历史 
1829836, 50.2, 7.8, 12953, 2006-7, 品三国（上） 
3901238, 48.4, 7.6, 13111, 2009-08-01, 历史是个什么玩意儿1 
3674537, 68.2, 9.1, 30649, 2009-4, 明朝那些事儿（1-9） 
20463108, 56.3, 8.3, 16372, 2013-1, 观念的水位 
3813669, 66.2, 8.6, 51421, 2009-6, 民主的细节 
4238362, 69.1, 8.6, 82550, 2010-1, 送你一颗子弹 
20427187, 73.0, 8.8, 108154, 2013-1-1, 看见 
5252677, 54.1, 8.1, 15665, 2010年9月10日, 幸福了吗? 
1027247, 51.6, 7.9, 14096, 2005-3, 丑陋的中国人 
6388661, 66.9, 8.8, 40936, 2011-9, 这些人，那些事 
4872671, 57.7, 8.2, 24853, 2010-6, 佛祖在一号线 
2143304, 52.5, 8.1, 11824, 2007-6, 我爱问连岳 
4113090, 51.0, 7.4, 33295, 2009-11, 我们台湾这些年 
1426971, 61.8, 8.8, 18271, 2005-8, 野火集 
3995526, 69.5, 8.7, 73405, 2009-10, 目送 
4207781, 63.7, 8.8, 24548, 2009-12-1, 孩子你慢慢来 
3369793, 67.1, 8.7, 50071, 2008-12, 亲爱的安德烈 
20440644, 64.5, 9.2, 15204, 2013-1-10, 文学回忆录（全2册） 
1003284, 54.8, 8.1, 17881, 2005-1, 退步集 
3344676, 58.4, 8.1, 34095, 2009-1, 常识 
3642673, 55.3, 8.0, 23082, 2010-10, 我执 
3311009, 47.6, 7.2, 24880, 2008-12, 原来你非不快乐 
5289756, 51.0, 7.9, 12683, 2010年10月, 爱的地下教育 
5269439, 56.2, 8.4, 13750, 2010-9, 城门开 
1033825, 59.0, 8.7, 13498, 1998-12, 顾城的诗 
1011754, 62.4, 8.9, 17155, 1999-04, 海子的诗 
1050339, 58.4, 7.8, 60523, 2001-4, 文化苦旅 
1001204, 50.5, 7.9, 11555, 2002-1, 山居笔记 
1020241, 50.3, 7.6, 19093, 2002-10, 千年一叹 
1054889, 52.0, 7.7, 21906, 2001-10, 行者无疆 
1003000, 64.3, 8.4, 53900, 2001-4, 悟空传 
1256186, 53.8, 8.3, 10687, 2005-1, 护花铃 
1478487, 49.8, 7.8, 12147, 2006-1-1, 曼珠沙华 
1919201, 60.7, 8.5, 24661, 2006-10, 七夜雪 
2078219, 52.5, 8.0, 13999, 2007-5, 且试天下1 
1030153, 46.9, 7.5, 11954, 1996年9月, 她比烟花寂寞 
2022979, 59.5, 8.1, 41119, 2007-2, 喜宝 
2230208, 53.5, 8.1, 13973, 2007-8, 我的前半生 
1045247, 51.9, 7.7, 21415, 2001-4, 面包树上的女人 
1028780, 47.5, 7.6, 11037, 2001-1, 三个A Cup的女人 
2567919, 59.0, 8.3, 26203, 2008-1, 匆匆那年（上下） 
3012517, 57.7, 8.5, 15014, 2008-4, 小姨多鹤 
6880158, 60.5, 8.7, 17162, 2011-10-1, 陆犯焉识 
2209098, 60.9, 7.9, 78705, 2007-8, 致我们终将逝去的青春 
2331434, 54.6, 7.7, 36458, 2007-10, 原来你还在这里 
3061282, 49.8, 7.6, 17365, 2008-5, 山月不知心底事 
3293231, 51.9, 7.8, 17886, 2008-12, 许我向你看 
4241870, 51.4, 7.7, 19715, 2010-02, 我在回忆里等你 
1016300, 55.8, 7.2, 142770, 2003-11, 梦里花落知多少 
1059406, 52.3, 7.1, 87323, 2003-1, 幻城 
1049189, 54.4, 7.4, 66700, 2005-2, 1995-2005夏至未至 
2062200, 43.0, 6.3, 81175, 2007-5, 悲伤逆流成河 
1006881, 44.2, 6.7, 37094, 2003-5, 左手倒影，右手年华。 
1041550, 41.4, 6.7, 19243, 2003-4, 爱与痛的边缘 
3191328, 46.1, 6.7, 58243, 2008-10, 小时代1.0折纸时代 
4038164, 41.7, 6.5, 33300, 2010-1, 小时代2.0虚铜时代 
6828611, 37.3, 6.4, 14080, 2011-12, 小时代3.0：刺金时代 
1461903, 64.0, 8.0, 114003, 2007-4, 何以笙箫默 
3879301, 62.8, 8.1, 73743, 2009-8, 微微一笑很倾城 
4874131, 58.3, 8.2, 27878, 2010-7-1, 东霓 
3598313, 59.0, 8.0, 45432, 2009-3, 西决 
4166819, 64.1, 8.8, 26238, 2009-12, 你好，旧时光（上 下） 
1925232, 53.6, 7.9, 20513, 2006-11, 大漠谣 
4231381, 61.0, 8.5, 25817, 2010-01, 那些回不去的年少时光 
4732378, 59.3, 8.7, 14158, 2010-04, 那些回不去的年少时光·终场 
2283084, 55.7, 8.2, 17453, 2007-9, 云中歌1 
3016221, 54.3, 8.3, 11619, 2008-2, 云中歌2 
3065343, 55.5, 8.4, 12090, 2008-4, 云中歌3 
3336465, 45.7, 7.3, 13708, 2009-1, 被时光掩埋的秘密 
1812439, 58.3, 8.1, 33493, 2006-6, 步步惊心 
1020459, 61.6, 8.4, 34332, 2004-1, 此间的少年 
1321017, 61.9, 8.8, 18621, 2005-6, 九州·缥缈录 
3268399, 56.4, 8.5, 12057, 2009-1, 上海堡垒 
1431779, 59.5, 8.9, 10837, 2005-9, 九州·缥缈录Ⅱ·苍云古齿 
4714734, 62.9, 8.4, 42906, 2010-3, 这些都是你给我的爱 
3014576, 62.6, 8.4, 40588, 2008-3, 陪安东尼度过漫长岁月 
5327697, 59.2, 8.3, 27094, 2010-10, 橙 
11527101, 56.5, 8.5, 12337, 2012-8-10, 这些都是你给我的爱2 
1958227, 57.8, 8.2, 25288, 2007-1, 那些年，我们一起追的女孩 
1963310, 58.7, 8.2, 29786, 2007-1, 大地之灯 
2339950, 55.0, 7.8, 32324, 2007-11, 被窝是青春的坟墓 
3290010, 45.6, 7.0, 25273, 2008-12, 澜本嫁衣 
5275500, 48.6, 7.7, 11515, 2010-10-1, 尘曲 
3506871, 51.9, 7.6, 26468, 2009-3, 曾有一个人，爱我如生命 
4238754, 58.3, 8.1, 33161, 2010-1, 失恋33天 
2243213, 57.3, 7.9, 40243, 2007-9, 山楂树之恋 
1431836, 61.9, 8.6, 25613, 2004-10, 我的路 
2131415, 59.9, 8.8, 13532, 2005, 我的路2 
1819974, 59.2, 8.7, 14104, 2006-5, 我的路3 
2067299, 59.4, 8.8, 12470, 2007, 我的路4 
2980812, 50.3, 7.8, 13332, 2008-2, 踮脚张望的时光 
1440089, 57.8, 8.3, 21165, 2005-11, 那些生命中温暖而美好的事情 
2382705, 51.8, 7.6, 25972, 2007-12, 不朽 
1227838, 53.9, 7.6, 38582, 2005-2, 年华是无效信 
3103080, 51.3, 7.6, 23190, 2008-6, 须臾 
1915536, 48.9, 7.3, 26401, 2009-6, 尘埃星球 
2567698, 73.9, 8.8, 124624, 2008-1, 三体 
3066477, 75.1, 9.2, 74143, 2008-5, 三体Ⅱ 
5363767, 75.1, 9.2, 73609, 2010-11, 三体Ⅲ 
1192090, 62.6, 8.7, 24080, 2005-6, 球状闪电 
3018339, 50.1, 7.7, 15293, 2007-12, 万物生长 
20278799, 48.4, 7.6, 13105, 2012-11-11, 三十六大 
6732178, 40.8, 6.8, 13194, 2011-7, 不二 
1018153, 54.7, 7.8, 30393, 2005-1, 水仙已乘鲤鱼去 
1006004, 50.6, 7.5, 25001, 2004-01, 樱桃之远 
1914572, 50.2, 7.6, 18788, 2006-11, 誓鸟 
1012802, 45.7, 7.2, 16802, 2004-7, 十爱 
1074841, 47.5, 7.5, 13370, 2003-6, 葵花走失在1890 
1049219, 54.8, 7.4, 71627, 2004-8, 长安乱 
1026425, 56.1, 7.4, 92915, 2000-5, 三重门 
1453210, 53.0, 7.4, 50265, 2006-1, 一座城池 
3394338, 54.0, 7.5, 49166, 2009-1, 他的国 
4886245, 59.8, 7.8, 78957, 2010-7-6, 独唱团（第一辑） 
3860856, 54.8, 8.1, 17795, 2009-08-01, 可爱的洪水猛兽 
1440101, 44.3, 7.2, 12310, 2005-11, 就这么漂来漂去 
5275059, 63.0, 7.9, 116753, 2010-9, 1988：我想和这个世界谈谈 
3009033, 52.2, 7.8, 18789, 2008-3, 杂的文 
1009160, 50.2, 7.3, 34569, 2002-1, 像少年啦飞驰 
1034108, 49.2, 7.2, 35121, 2000-08, 零下一度 
2133556, 44.7, 6.9, 26042, 2007-6, 光荣日（第一季） 
1063245, 50.7, 7.6, 20601, 2003-9, 通稿2003 
1046385, 44.1, 7.1, 14608, 2002-10, 毒 
20425053, 50.6, 7.7, 16827, 2013-1-8, 我所理解的生活 
6902639, 53.5, 7.9, 20110, 2011-11, 青春 
1066462, 65.8, 8.4, 69159, 2002-8, 向左走·向右走 
3665874, 62.3, 9.0, 14613, 2009-5-1, 星空 
1021847, 59.8, 8.5, 21128, 2002-2, 我的心中每天开出一朵花 
1358873, 62.7, 8.5, 34773, 2000-2-1, 月亮忘記了 
3699108, 57.6, 8.7, 10839, 2009-5, 我的错都是大人的错 
1049354, 57.7, 8.5, 15061, 2004-3, 又寂寞又美好 
1056733, 61.3, 8.3, 38708, 2002-2, 地下铁 
1358413, 58.6, 8.5, 17324, 2002-2-4, 我只能為你畫一張小卡片 
1059937, 56.1, 8.4, 13446, 2004-7, 微笑的鱼 
1367458, 57.2, 8.4, 16267, 2001-6-18, 照相本子 
1031575, 52.9, 8.1, 12763, 2002-4, 听幾米唱歌 
1367964, 54.1, 8.2, 13258, 2002-9-30, 布瓜的世界 
1761056, 53.8, 8.3, 10721, 2006-4, 蓝石头 
1061367, 54.8, 8.4, 10754, 2003-04, 幸运儿 
1948901, 64.6, 8.4, 57377, 2007-1, 盗墓笔记 
2057285, 59.1, 8.2, 31788, 2007-4, 盗墓笔记2 
2298149, 60.5, 8.4, 28303, 2007-11, 盗墓笔记3 
3266344, 61.1, 8.5, 26391, 2008-11, 盗墓笔记4 
3800166, 59.2, 8.4, 22784, 2009-7, 盗墓笔记5 
4173968, 59.2, 8.4, 22973, 2010-1, 盗墓笔记6 
5254315, 59.0, 8.4, 21966, 2010-9, 盗墓笔记7 
6974232, 52.9, 8.0, 15134, 2011-12, 盗墓笔记8·大结局（上） 
6974102, 51.3, 7.7, 19242, 2011-12, 盗墓笔记8·大结局（下） 
1882933, 58.7, 8.1, 35596, 2006, 鬼吹灯之精绝古城 
1916726, 54.0, 7.9, 22063, 2006-11, 鬼吹灯之龙岭迷窟 
1926103, 55.5, 8.0, 24062, 2006-11, 鬼吹灯之云南虫谷 
1938591, 52.4, 7.8, 19785, 2006-12, 鬼吹灯之昆仑神宫 
2149655, 49.4, 7.7, 13291, 2007-7, 鬼吹灯Ⅱ之一·黄皮子坟 
3426869, 63.3, 8.3, 54583, 2009-1, 三生三世 十里桃花 
5916880, 64.1, 8.6, 36558, 2011-1, 华胥引（全二册） 
4115227, 49.8, 7.5, 21206, 2009-10, 岁月是朵两生花 
4224758, 46.5, 7.3, 15961, 2009, 花千骨（上下） 
1316622, 55.5, 8.4, 12244, 2005-6, 诛仙1 
1596305, 47.8, 7.0, 40836, 2006-3, 泡沫之夏 
1855343, 46.7, 7.2, 20705, 2006-8, 泡沫之夏Ⅱ 
2062430, 46.6, 7.2, 20159, 2007-5, 泡沫之夏Ⅲ 
1291760, 45.8, 6.8, 41884, 2005-5, 会有天使替我爱你 
1083257, 47.4, 7.4, 16025, 2004-07-01, 烈火如歌 
1190868, 46.3, 7.5, 10444, 2004-10-1, 烈火如歌 
1529893, 61.8, 8.0, 76527, 2006-3, 莲花 
2256438, 57.4, 7.8, 50703, 2007-9, 素年锦时 
1030052, 57.8, 7.9, 44424, 2004-10, 清醒纪 
1065970, 57.1, 7.8, 47934, 2001-9, 彼岸花 
1029159, 53.8, 7.5, 47339, 2001-1, 八月未央 
1063190, 56.1, 8.0, 27045, 2002-8, 蔷薇岛屿 
1058234, 54.4, 7.7, 35254, 2004-1, 二三事 
1016523, 52.5, 7.5, 36666, 2000-1, 告别薇安 
1006073, 48.3, 7.6, 12991, 2002-8, 七月与安生 
6710720, 43.1, 7.0, 14335, 2011-8-1, 春宴 
3609132, 60.3, 8.5, 23087, 2009-6, 把时间当作朋友 
4953695, 55.6, 8.0, 24626, 2010-9, 拆掉思维里的墙 
2340100, 60.8, 8.1, 52163, 2008-1, 遇见未知的自己 
4010196, 56.3, 8.1, 23299, 2009-9, 世界因你不同 
1427679, 45.9, 7.5, 9660, 2005-9, 做最好的自己 
4741216, 47.9, 7.3, 21616, 2010-4, 我的奋斗 
4242172, 65.8, 8.3, 84301, 2010-2, 天才在左 疯子在右 
