Doulist, Number of Books 
37912871, 219 

ID, Score, Rating, Votes, Date, Title 
1046265, 66.5, 8.0, 178388, 2001-2, 挪威的森林 
4742918, 65.0, 8.3, 73647, 2010-5, 1Q84 BOOK 1 
4885241, 63.5, 8.4, 47221, 2010-6, 1Q84 BOOK 2 
5502995, 52.7, 7.6, 31039, 2011-1, 1Q84 BOOK 3 
1039752, 56.1, 7.8, 39292, 2001-8, 且听风吟 
1059419, 61.5, 8.1, 58557, 2003-4, 海边的卡夫卡 
1291809, 60.5, 8.5, 24039, 2002-12, 世界尽头与冷酷仙境 
1015452, 57.2, 8.2, 22809, 2001-8, 国境以南 太阳以西 
3369600, 59.6, 8.1, 41799, 2009-1, 当我谈跑步时我谈些什么 
1020670, 56.2, 8.2, 19204, 2002-6, 舞！舞！舞！ 
1031740, 54.9, 8.1, 18232, 2001-8, 寻羊冒险记 
1035362, 50.1, 7.9, 10721, 2002-6, 神的孩子全跳舞 
1283273, 46.2, 7.3, 15068, 2005-4, 天黑以后 
1848256, 52.5, 8.0, 14097, 2006-7, 东京奇谭集 
1079440, 53.5, 8.1, 14218, 2002-12, 遇到百分之百的女孩 
3259440, 79.6, 9.1, 172337, 2008-9, 白夜行 
3211779, 74.8, 8.9, 118836, 2008-9, 嫌疑人X的献身 
25862578, 73.3, 8.6, 166557, 2014-5, 解忧杂货店 
4009552, 53.3, 7.6, 34870, 2009年9月, 幻夜 
4074636, 56.5, 7.6, 65192, 2010-1, 放学后 
3646172, 64.8, 8.4, 58452, 2009-6, 恶意 
4152754, 51.7, 7.7, 20595, 2010年1月, 时生 
4264003, 46.2, 7.4, 12344, 2010-4, 名侦探的守则 
3713327, 50.5, 7.7, 16557, 2009-5, 圣女的救济 
4580972, 51.7, 7.7, 20799, 2010年3月, 流星之绊 
4928387, 47.9, 7.5, 14362, 2010年10月, 单恋 
3102324, 51.7, 7.7, 20877, 2008-6, 秘密 
3865832, 45.1, 7.1, 17939, 2009-07-01, 变身 
4753783, 46.8, 7.4, 14082, 2010-8, 分身 
3053207, 43.9, 7.2, 11370, 2008-5, 侦探伽利略 
3615061, 49.5, 7.5, 19771, 2009-4, 宿命 
1926700, 54.0, 7.7, 32162, 2006-12, 关于莉莉周的一切 
1080370, 65.4, 8.6, 44974, 2004-7, 情书 
3191044, 52.5, 7.8, 20152, 2008-8, 华莱士人鱼 
1008074, 50.0, 7.5, 21994, 2005-4-1, 失乐园 
2119843, 41.1, 6.9, 11308, 2007-5, 钝感力 
1005521, 56.7, 8.1, 24780, 2002-2, 伊豆的舞女 
4011670, 60.4, 8.3, 33050, 2009年9月, 人间失格 
2250587, 56.7, 7.6, 67231, 2007-9, 一个人的好天气 
4173403, 49.3, 7.7, 13018, 2010-1, 温柔的叹息 
3801097, 50.7, 7.8, 14241, 2009-6, 夏天·烟火·我的尸体 
4067621, 53.9, 8.2, 12714, 2009年11月, 暗黑童话 
2297697, 61.3, 8.6, 23134, 2007-10, ZOO 
1006113, 50.4, 7.8, 13584, 1999-07, 源氏物语 
3136271, 57.5, 8.6, 12442, 2008-7, 罗生门 
